id,title,file_name,file_size,media_type,mime_type,modality,device,device_facility,media_parent_id,physical_object_id,physical_object_title,physical_object_organization,physical_object_type,physical_object_taxonomy_name,physical_object_taxonomy_gbif,part,side,creator,short_description,description,ip_holder,copyright_statement,license,morphosource_use_agreement_type,permits_commercial_use,permits_3d_use,required_archival_of_published_derivatives,funding,publisher,cite_as,ark,doi,external_identifier,external_media_url,visibility,in_collections,date_uploaded,date_modified,legacy_media_group_id,legacy_media_file_id,x_pixel_spacing,y_pixel_spacing,z_pixel_spacing,slice_thickness,unit,number_of_images_in_set,data_manager,data_depositor,data_sponsor,file_thumbnail_url,file_size_all,points,polygons,vertex_color,uv_coordinates,bounding_box_x,bounding_box_y,bounding_box_z,status
000043121,Frontoparietal [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Frontoparietal,Midline,,Stegoceras validum (UALVP-2) STL of digitally prepared Frontoparietal,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared Frontoparietal Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43121,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:20:45Z,2020-10-20T23:15:26Z,11590,43121,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216804?file=thumbnail&t=1603235726,13298339,123890,247745,False,False,90.60189819335938,124.3759994506836,82.87561690807343,Included
000043122,Ectopterygoid [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Ectopterygoid,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left ectopterygoid,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left ectopterygoid Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43122,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:23:13Z,2020-10-20T23:15:27Z,11590,43122,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216805?file=thumbnail&t=1603235727,277925,2597,5189,False,False,17.761898040771484,14.671699523925781,17.337196350097656,Included
000043123,Jugal [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Jugal,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left jugal,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left jugal Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43123,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:24:17Z,2020-10-20T23:15:29Z,11590,43123,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216806?file=thumbnail&t=1603235729,2095667,19576,39151,False,False,42.80739974975586,89.98990631103516,48.34600067138672,Included
000043124,Lacrimal [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Lacrimal,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left lacrimal,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left lacrimal Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43124,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:25:08Z,2020-10-20T23:15:29Z,11590,43124,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216807?file=thumbnail&t=1603235729,811661,7624,15252,False,False,15.377899169921875,28.492897033691406,27.576202392578125,Included
000043125,Maxilla [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Maxilla,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left maxilla,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left maxilla Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43125,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:25:58Z,2020-10-20T23:15:34Z,11590,43125,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216808?file=thumbnail&t=1603235734,3019728,28251,56504,False,False,42.05849838256836,74.80910110473633,52.46529769897461,Included
000043126,Nasal [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Nasal,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left nasal,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left nasal Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43126,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:27:28Z,2020-10-20T23:15:35Z,11590,43126,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216809?file=thumbnail&t=1603235735,3245346,30392,60764,False,False,34.834800720214844,75.0080976486206,53.971696853637695,Included
000043127,Palatine [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Palatine,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left palatine,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left palatine Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43127,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:28:14Z,2020-10-20T23:15:36Z,11590,43127,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216810?file=thumbnail&t=1603235736,1049078,9819,19635,False,False,29.058700561523438,51.97829818725586,30.4071044921875,Included
000043128,Postorbital [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Postorbital,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left postorbital,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left postorbital Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43128,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:28:57Z,2020-10-20T23:15:39Z,11590,43128,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216811?file=thumbnail&t=1603235739,3172841,29814,59624,False,False,35.263397216796875,52.394004821777344,54.49690055847168,Included
000043129,Prefrontal [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Prefrontal,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left prefrontal,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left prefrontal Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43129,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:30:00Z,2020-10-20T23:15:39Z,11590,43129,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216812?file=thumbnail&t=1603235739,1600112,15040,30067,False,False,22.982696533203125,36.71990203857422,39.22579765319824,Included
000043130,Premaxilla [Mesh] [Etc],,,Mesh,,MicroNanoXRayComputedTomography,"Varian Medical Systems (Bio-Imaging Research, Inc) ACTIS CT scanner with FeinFocus X-ray source",The University of Texas High-Resolution X-ray Computed Tomography Facility,,0000S4615,ualvp:UALVP-2,Laboratory for Vertebrate Paleontology,Biological Specimen,Stegoceras validum,Animalia,Premaxilla,Left,,Stegoceras validum (UALVP-2) STL of digitally prepared left premaxilla,Migrated MorphoSource 1 Media File Title: Stegoceras validum (UALVP-2) STL of digitally prepared left premaxilla Migrated MorphoSource 1 Media Group Title: Stegoceras validum (UALVP 2) STL of digitally prepared (matrix-free) skull,,,,Standard,CommercialUseNotPermitted,3DPrintingLimited,OnMorphoSource,"National Science Foundation IOB-0517257, IOS-1050154, IOS-1456503",,"Migrated MorphoSource 1 Media Citation Instructions: WitmerLab at Ohio University provided access to these dataoriginally appearing in The Visible Interactive Pachycephalosaur , the collection of which was funded by NSF grants to LM Witmer.. The files were downloaded from www.MorphoSource.org, Duke University.",ark:/87602/m4/M43130,,,,open,The Visible Interactive Pachycephalosaur – part of the Visible Interactive Anatomy series at WitmerLab at Ohio University,2018-03-05T20:30:29Z,2020-10-20T23:15:40Z,11590,43130,,,,,,,Lawrence Witmer,JP Nassif,NSF DBI-1661386 (MorphoSource Subsidizing Fund 6-21 to 8-24),/downloads/000216813?file=thumbnail&t=1603235740,1384245,13015,26019,False,False,24.026504516601562,41.42236852645874,35.925697326660156,Included
