id,citation,doi,url,year,type,peer_reviewed,taxon_specimen,structure,fe_method,geometry_source,material_model,loading,boundary_conditions,mesh_strategy,validation,sensitivity_uq,scientific_question,principal_finding,limitations,ualvp2_relevance,epistemic_status
F01,"Rayfield EJ, Norman DB, Horner CC, Horner JR, Smith PM, Thomason JJ, Upchurch P. 2001. Cranial design and function in a large theropod dinosaur. Nature 409:1033-1037.",10.1038/35059070,https://doi.org/10.1038/35059070,2001,Research Article,Yes,"Allosaurus fragilis; MOR 693",cranium,"3-D FEA",CT-derived 3-D skull,Exact material assignments UNVERIFIED,"Functional feeding loads; exact magnitudes UNVERIFIED",Functional constraints; exact node/DOF UNVERIFIED,"Exact element details UNVERIFIED",No direct experimental validation,None,"Can fossil skull FEA test form-function/feeding hypotheses?","Quantitative stress/strain used to test cranial design and feeding hypotheses.",Early-generation assumptions on materials/loading/BCs,"Historical foundation for CT-to-FEA fossil skull workflow.","DO/AI/MA/UNVERIFIED"
F02,"Rayfield EJ. 2005. Using finite-element analysis to investigate suture morphology: a case study using large carnivorous dinosaurs. Anatomical Record 283A:349-365.",10.1002/ar.a.20168,https://doi.org/10.1002/ar.a.20168,2005,Research Article,Yes,"Allosaurus fragilis; MOR 693","cranium/sutures","3-D FE",CT-derived skull; altered suture treatments,Exact bone/suture properties UNVERIFIED,Feeding loads; exact values UNVERIFIED,Functional BCs; exact details UNVERIFIED,3-D tetrahedral details UNVERIFIED,No direct validation,"Suture representation","What is the mechanical significance of cranial sutures?","Suture configuration changed modeled stress/strain paths and was interpreted biomechanically.",Dynamic and tissue-property assumptions uncertain,"Shows anatomical interface treatment is a model choice with mechanical consequences.","DO/AI/MA/UNVERIFIED"
F03,"Rayfield EJ. 2005. Aspects of comparative cranial mechanics in the theropod dinosaurs Coelophysis, Allosaurus and Tyrannosaurus. Zoological Journal of the Linnean Society 144:309-316.",10.1111/j.1096-3642.2005.00176.x,https://doi.org/10.1111/j.1096-3642.2005.00176.x,2005,Research Article,Yes,"Coelophysis bauri; Allosaurus fragilis; Tyrannosaurus rex",crania,Comparative FE,"Fossil skull geometries; exact acquisition UNVERIFIED","Exact spatial material maps UNVERIFIED",Biting/feeding loads; exact values UNVERIFIED,"Comparative functional constraints; exact details UNVERIFIED","Exact element strategy UNVERIFIED",No direct validation,Morphological comparison,"How does skull shape relate to comparative cranial mechanics?","Stress/strain patterns used for cross-taxon functional comparison.",Sensitive to scaling/loading/material conventions,"Supports comparative analysis but requires explicit normalization.","DO/AI/UNVERIFIED"
F04,"Ross CF. 2005. Finite element analysis in vertebrate biomechanics. Anatomical Record 283A:253-258.",10.1002/ar.a.20177,https://doi.org/10.1002/ar.a.20177,2005,Review,Yes,"Extant and fossil vertebrates",skeletal structures,Methodological review,Varied across reviewed studies,Varied across reviewed studies,Varied,Varied,Varied,Reviews validation/sensitivity literature,Methodological framing,"How was FEA entering vertebrate biomechanics?","FEA used for complex skulls and fossil structure-function questions; methodological inputs matter.",Review-level evidence,"Gateway source.","DO/SYN"
F05,"Kupczik K, Dobson CA, Fagan MJ, Crompton RH, Oxnard CE, O'Higgins P. 2007. Assessing mechanical function of the zygomatic region in macaques: validation and sensitivity testing of finite element models. Journal of Anatomy 210:41-53.",10.1111/j.1469-7580.2006.00662.x,https://doi.org/10.1111/j.1469-7580.2006.00662.x,2007,Validation/Sensitivity Study,Yes,"Macaca fascicularis",zygomatic region,Validated FE,Specimen-specific crania,Nanoindentation-derived properties tested,Experimental load applied to zygomatic arch,"Masseter load path vs nodal loading",Exact mesh details UNVERIFIED,Ex vivo strain gauges,"Materials; suture; loading","How sensitive is cranial FE response to material, suture, and load treatment?","Material properties, suture representation, and load application altered agreement/strain response.",Extant macaque and non-physiological experimental loads,"Direct evidence for treating materials/interfaces/load application as uncertainty-bearing.","DO/AI"
F06,"Marinescu R, Daegling DJ, Rapoff AJ. 2005. Finite-element modeling of the anthropoid mandible: the effects of altered boundary conditions. Anatomical Record 283A:300-309.",10.1002/ar.a.20166,https://doi.org/10.1002/ar.a.20166,2005,Validation/Sensitivity Study,Yes,Macaca fascicularis,mandible,FE validation,Specimen-specific,Isotropic vs heterogeneous orthotropic models,Experimental bite-like loading,Varied load orientation and nodal constraints,Exact mesh details UNVERIFIED,In vitro strain gauges,"Boundary conditions; materials","How do BC choices affect predicted strain?","Small load-direction errors can significantly change predicted strains.",Species/model-specific,"Very high relevance to load direction/constraint design.","DO/AI"
F07,"Ross CF, Patel BA, Slice DE, Strait DS, Dechow PC, Richmond BG, Spencer MA. 2005. Modeling masticatory muscle force in finite element analysis: sensitivity analysis using principal coordinates analysis. Anatomical Record 283A:288-299.",10.1002/ar.a.20170,https://doi.org/10.1002/ar.a.20170,2005,Sensitivity Study,Yes,Macaca skulls,cranium,FE sensitivity,"Specimen/model-specific",Muscle/property assumptions varied,36 muscle-loading regimes,Functional masticatory constraints,Exact mesh details UNVERIFIED,No direct validation within abstract,"PCSA/EMG/force scaling","Which loading assumptions drive model response?","Thirty-six plausible loading regimes produced a structured sensitivity space.",Extant masticatory system,"Analogue for force magnitude/direction/distribution uncertainty.","DO/UNVERIFIED"
F08,"Taddei F, Martelli S, Reggiani B, Cristofolini L, Viceconti M. 2006. Finite-element modeling of bones from CT data: sensitivity to geometry and material uncertainties. IEEE Transactions on Biomedical Engineering 53:2194-2200.",10.1109/TBME.2006.879473,https://doi.org/10.1109/TBME.2006.879473,2006,Stochastic Sensitivity Study,Yes,Human femur models,femur,Monte Carlo FE,Three in vivo CT-based femurs,Geometry/density/mechanical properties random variables,Two loading conditions,Exact BCs UNVERIFIED,Exact mesh details UNVERIFIED,No direct physical validation,"Monte Carlo sensitivity","How do CT geometry/material uncertainties propagate to FE outputs?","Influence depended on load case/output; geometry was dominant for stresses in tested models; output CVs <9% in that study.",Human femur,methodological precedent not fossil empirical evidence,"Strong basis for future UALVP 2 uncertainty propagation.","DO/SYN"
F09,"Panagiotopoulou O, Curtis N, O'Higgins P, Cobb SN. 2010. Modelling subcortical bone in finite element analyses: a validation and sensitivity study in the macaque mandible. Journal of Biomechanics 43:1603-1611.",10.1016/j.jbiomech.2009.12.027,https://doi.org/10.1016/j.jbiomech.2009.12.027,2010,Validation/Sensitivity Study,Yes,Macaca mandible,mandible,Validated FE,CT-based mandible,Subcortical geometry varied with tested solid approximations,Bite loading,Experimental constraint/loading configuration,Exact mesh details UNVERIFIED,Experimental strain measurements,"Subcortical geometry/material simplification","Can subcortical detail be simplified without losing mechanical response?","Cortical-only models were less effective at resisting bending; simplified subcortical solids could work with suitable modulus in tested case.",Extant mandible,"Supports explicit treatment of internal-structure simplification.","DO/AI"
F10,"Bright JA, Rayfield EJ. 2011. The response of cranial biomechanical finite element models to variations in mesh density. Anatomical Record 294:610-620.",10.1002/ar.21358,https://doi.org/10.1002/ar.21358,2011,Mesh-Convergence Study,Yes,Domestic pig skull,cranium,Convergence-tested FE,CT-based skull,Material constant during mesh comparison,Experimental-style cranial loading,Consistent BCs across meshes,18 increasingly refined models; linear and quadratic tetrahedra,None external; numerical convergence,"Mesh density/type","What mesh density is sufficient for cranial FE outputs?","Insufficient density underestimates strain/displacement and can miss hot-spots; regional convergence differs.",One skull/specimen,"Direct basis for output-specific mesh convergence in UALVP 2.","DO/AI"
