id,source,domain,method,uncertain_inputs,outputs_or_qoi,key_evidence,limitation_or_transfer_issue,identifier
F01,Snively & Theodor 2011,fossil,scenario sensitivity,force spread/contact/keratin,stress/strain,Load-spread assumptions varied; not full probabilistic UQ,direct Stegoceras benchmark; static impact model,10.1371/journal.pone.0021422
F02,Cox et al. 2015,fossil,OAT/local sensitivity,muscle force; force angle,bite force; stress,±20% force and ±10° orientation perturbations; bite force more sensitive than stress,fossil cranial load sensitivity,10.1111/joa.12282
F03,Taylor et al. 2017,fossil,geometry-informed sensitivity,bite position; muscle loading; material variation,deformation; stress; bite force,bite position had greater effect on deformation than tested muscle/material variation,loading/contact is a high-priority uncertainty,10.1002/ar.23489
F04,McCurry et al. 2015,extant comparative,geometry sensitivity,surface resolution,strain,surface-resolution changes affected strain magnitudes; comparative patterns could stabilize,separate geometry resolution from solid-mesh convergence,10.7717/peerj.988
F05,Godinho et al. 2017,extant cranial validation,validation + sensitivity,segmentation; material simplification,deformation; strain,absolute deformation not accurately predicted; spatial strain pattern more robust,supports cautious magnitude interpretation,10.1016/j.crpv.2016.11.002
F06,Jannel et al. 2022,fossil,scenario sensitivity,materials; soft tissue; loads; BCs,stress,some scenario choices changed magnitudes substantially while broad patterns could remain similar,model-form/scenario separation,10.1126/sciadv.abm8280
F07,Sylvester & Kramer 2018,adjacent/fossil-method,parameter + load sensitivity,Young's modulus; load complexity,strain,explicitly motivated by fossil FEA; exact result extraction incomplete in this pass,fossil-methodology bridge,10.1002/ar.23796
F08,Anderson et al. 2012,fossil-method review,review synthesis,general model inputs,relative vs absolute performance,sparse-input fossil FE better suited to patterns/relative comparisons than absolute values,interpretation framework,10.1098/rsbl.2011.0674
B01,Taddei et al. 2006,biomechanics,Monte Carlo sensitivity,geometry; density; mechanical properties,FE output statistics,geometry errors reported as dominant for stresses in studied models,geometry + material UQ precedent,10.1109/TBME.2006.879473
B02,Bright & Rayfield 2011,cranial biomechanics,sensitivity + ex vivo validation,material; loading direction; gauge placement,strain,material properties especially influential; absolute outputs require caution,core cranial validation precedent,10.1111/j.1469-7580.2011.01408.x
B03,Berthaume et al. 2012,cranial biomechanics,probabilistic FE + LHS,cortical material properties,stress; strain,Gaussian randomization; LHS; 426 deterministic FE simulations,direct cranial LHS precedent,10.1016/j.jtbi.2012.01.031
B04,Kerr et al. 2011,cardiovascular biomechanics,Bayesian/GP global sensitivity,loading; material properties; dimensions,stress,GP emulator reduced FE cost; outputs showed substantial uncertainty in tested model,GP-assisted global sensitivity precedent,10.1016/j.jbiomech.2011.03.008
B05,Biehler et al. 2015,biomechanics,multi-fidelity UQ,random field constitutive parameter,stress; strain; energy,direct MC used as reference; multi-fidelity reduced cost,cost-control precedent,10.1007/s10237-014-0618-0
B06,Römer et al. 2022,biomechanics,PCE + Bayesian + Sobol,hyperelastic material parameters,force response,surrogate makes MCMC practical; surrogate error considered,surrogate/Bayesian precedent,10.1002/cnm.3575
B07,Rupp et al. 2020/2021,biomechanics,non-intrusive PCE,conductivities; geometry,cardiac potentials,efficient PC emulator; conference proceeding so downgraded,software/method precedent,10.22489/CinC.2020.275
B08,Razu et al. 2023,biomechanics,Bayesian calibration,ligament/material/kinematic parameters,kinematics; ACL force,posterior UQ informed by observed data,Bayesian branch only when data exist,10.1115/1.4056968
B09,Kote et al. 2026,biomechanics,probabilistic FE + shape model,rib shape; cortical properties,impact response,population shape/material variability + response-surface model,geometry + material propagation,10.1007/s10439-024-03571-4
B10,Baugnon et al. 2026,biomechanics,LHS + sparse PCE + Sobol,24 loading/material/discretization inputs,von Mises stress,2400 simulations; regional sensitivity required larger N for stable estimates,strong modern template,10.1088/1873-4030/ae995b
B11,Valerio & Dall'Ara 2026,biomechanics,Morris GSA,173 musculoskeletal inputs,tibial forces,19 important parameters in reduced case,Morris screening precedent,10.1016/j.jbiomech.2026.113377
M01,McKay et al. 1979,methods,LHS,sampling design,generic outputs,LHS as variance-reduction design for computer experiments,sampling foundation,10.1080/00401706.1979.10489755
M02,Morris 1991,methods,Morris elementary effects,many inputs,generic output,efficient screening for complex deterministic computer models,screening foundation,10.1080/00401706.1991.10484804
M03,Sobol 1993,methods,variance-based sensitivity,input groups,output variance,global ANOVA-like decomposition,Sobol foundation,stable metadata record
M04,Sobol 2001,methods,Sobol + MC,input distributions,output variance,global indices estimated by MC/quasi-MC,global sensitivity foundation,10.1016/S0378-4754(00)00270-6
M05,Saltelli et al. 2008,methods,global sensitivity synthesis,input space,generic output,practical screening/variance-based guidance,method-selection foundation,9780470725177
M06,Henninger et al. 2010,VVUQ,verification/validation/sensitivity,numerical/model assumptions,intended QoIs,verification precedes validation; mesh convergence and sensitivity integrated,V&V foundation,10.1243/09544119JEIM649
M07,Laz & Browne 2010,biomechanics review,probabilistic UQ review,geometry; material; kinematics; loading,performance,broad probabilistic biomechanics precedent,taxonomy foundation,10.1243/09544119JEIM739
M08,Kennedy & O'Hagan 2001,UQ foundations,Bayesian calibration,parameters + discrepancy,prediction,explicit model discrepancy term with observational calibration,Bayesian/discrepancy foundation,10.1111/1467-9868.00294
M09,Roy & Oberkampf 2011,UQ foundations,integrated VVUQ,aleatory; epistemic; model; numerical,predictive uncertainty,framework includes model-form and numerical error,uncertainty taxonomy foundation,10.1016/j.cma.2011.03.016
M10,Ling et al. 2014,UQ foundations,Bayesian discrepancy,model discrepancy priors,prediction/validation,discrepancy prior choice can create identifiability/redundancy issues,model discrepancy caution,10.1016/j.jcp.2014.08.005
