input_id,category,parameter,description,value,units,uncertainty,source,source_location,measurement_type,availability_status,evidence_level,current_dataset_source,confidence,notes
INP-GEO-01,Geometry,External Cranial Surface,Complete outer boundary of skull and frontoparietal dome,3D Surface Mesh,dimensionless (candidate mm),0.029 coordinate units bounding uncertainty,MorphoSource Media 000018284,WitmerLab deposited STL,measured_surface,AVAILABLE_DIRECT,B,data/meshes/original/whole_skull/WitmerLab_Stegoceras_UALVP2-000018284.stl,HIGH,Full-resolution external surface mesh of UALVP 2 cranium.
INP-GEO-02,Geometry,Individual Cranial Bones,32 segmented cranial bone geometries with articulated interfaces,32 surface STL meshes,dimensionless (candidate mm),Suture contact gaps 0.1-2.0 units,MorphoSource Media 000043121-000043162,WitmerLab deposited STLs,measured_surface,AVAILABLE_DIRECT,B,data/meshes/original/components/,HIGH,All 32 bones present in common native coordinate space.
INP-GEO-03,Geometry,Physical Scale Calibration,Conversion factor from STL coordinate units to physical millimeters,UNKNOWN (candidate 1.0),mm/unit,±2-5% pending scan logs or direct caliper validation,Snively & Theodor (2011),Table 1 (skull length ~200 mm),inferred_scale,INFERABLE_WITH_ASSUMPTION,D,Primary literature length comparison,MEDIUM,Candidate millimeter scale is strongly consistent with literature skull length (~200 mm) but uncalibrated directly from DICOM.
INP-GEO-04,Geometry,Internal Braincase Cavity,Endocranial boundary surface enclosing brain and cranial nerves,Surface boundary,dimensionless (candidate mm),Manual segmentation boundary,Snively & Theodor (2011),p. 10 (Methods),measured_segmentation,AVAILABLE_DIRECT,B,Component Media 000043136 (Neurocranium) internal walls,HIGH,Neurocranium mesh provides the physical endocranial boundary.
INP-GEO-05,Geometry,Internal Histological Zonation,"3D boundaries between Zone 1 (basal compact), Zone 2 (cancellous core), and Zone 3 (outer cortex)",3D partition surface,mm,UNKNOWN (internal boundaries unsegmented in surface STLs),Goodwin & Horner (2004); Snively & Theodor (2011),p. 6; Fig 2; Fig 6,inferred_histology,UNAVAILABLE,C,None (requires raw CT or arbitrary geometric partitioning),LOW,Zonation observed in 2D CT slices and physical sections; exact 3D internal interface coordinates are absent from surface STLs.
INP-GEO-06,Geometry,Cortical Bone Thickness Distribution,Spatial thickness map of superficial compact bone across dome and basicranium,Variable 3-25,mm,±2 mm due to beam hardening,Snively & Theodor (2011); Goodwin & Horner (2004),Fig 2; Fig 6,inferred_measurement,UNAVAILABLE,C,None (requires raw CT volumetric data),LOW,Cortical thickness increases toward dome apex; cannot be extracted directly from 2D surface meshes.
INP-GEO-07,Geometry,In Vivo Keratin Shield Morphology,3D external cornified keratin pad overlying the frontoparietal dome,Unpreserved soft tissue,mm,100% unpreserved in fossils,Hieronymus et al. (2009); Snively & Theodor (2011),p. 7; Fig 13,hypothesized_anatomy,UNAVAILABLE,D,None (must be modeled parametrically or represented via load spread),MEDIUM,In vivo keratin is completely unpreserved; modeled via distributed vs concentrated load regimes.
INP-MAT-01,Material,Cortical Bone Elastic Modulus (E_cort),Young modulus of dense compact bone in dome apex and braincase wall,17.0-20.0,GPa,10-22 GPa literature range,Cowin (2001); Hellmich et al. (2008); Snively & Theodor (2011),p. 10; Bell et al. (2009),borrowed_literature,LITERATURE_ONLY,C,Published mammalian/bovine cortical bone literature,HIGH,Snively & Theodor (2011) capped Stegoceras dome cortex at 2500 HU properties (~17-20 GPa).
INP-MAT-02,Material,Cortical Bone Poisson Ratio (nu_cort),Poisson ratio of compact cortical bone,0.30,dimensionless,0.28-0.38 literature range,Cowin (2001); Snively & Theodor (2011),p. 10,borrowed_literature,LITERATURE_ONLY,C,Published bone mechanics literature,HIGH,Standard isotropic bone assumption widely adopted in vertebrate cranial FEA.
INP-MAT-03,Material,Cancellous Bone Elastic Modulus (E_canc),Young modulus of vascular trabecular bone in Zone 2 core,1.0,GPa,0.5-4.5 GPa literature range,Turner et al. (1990); Snively & Theodor (2011),p. 10,borrowed_literature,LITERATURE_ONLY,C,Published human/bovine cancellous bone literature,MEDIUM,Explicitly assigned as a conservatively low modulus for Stegoceras cancellous dome tissue.
INP-MAT-04,Material,Cancellous Bone Poisson Ratio (nu_canc),Poisson ratio of cancellous bone,0.25,dimensionless,0.20-0.32 literature range,Turner et al. (1990); Cowin (2001),Standard biomechanics literature,borrowed_literature,LITERATURE_ONLY,C,Published cancellous bone literature,HIGH,Standard isotropic porous bone representation.
INP-MAT-05,Material,Cortical Bone Mass Density (rho_cort),Mass density of dense cranial cortical bone,1900.0,kg/m^3,1700-2100 kg/m^3,Cowin (2001),Standard bone density literature,borrowed_literature,LITERATURE_ONLY,C,Comparative mammalian osteology,HIGH,Required for mass and dynamic inertial modeling; not strictly active in static linear FEA.
INP-MAT-06,Material,Cancellous Bone Mass Density (rho_canc),Apparent mass density of trabecular bone in dome core,1000.0,kg/m^3,600-1400 kg/m^3,Turner et al. (1990); Cowin (2001),Standard bone density literature,borrowed_literature,LITERATURE_ONLY,C,Comparative mammalian osteology,MEDIUM,Dependent on local porosity and vascular canal volume fraction.
INP-MAT-07,Material,Keratin Pad Elastic Modulus (E_ker),Young modulus of cornified alpha-keratin sheath/pad,3.9,GPa,1.5-5.0 GPa,"Kitchener (1988, 1992); Snively & Theodor (2011)",p. 10,borrowed_literature,LITERATURE_ONLY,C,Measured on bovid horn keratin,HIGH,Assigned to Ovibos pad in Snively & Theodor (2011); serves as baseline for parametric keratin layer.
INP-MAT-08,Material,Keratin Pad Poisson Ratio (nu_ker),Poisson ratio of keratinous tissue,0.28,dimensionless,0.25-0.35,Kitchener (1992); Snively & Theodor (2011),p. 10,borrowed_literature,LITERATURE_ONLY,C,Bovid horn mechanics,HIGH,Standard isotropic keratin value.
INP-MAT-09,Material,Cortical Compressive Yield Strength,Yield stress of dense compact cranial bone,130.0-150.0,MPa,100-180 MPa,Cowin (2001); Snively & Theodor (2011),p. 6,borrowed_literature,LITERATURE_ONLY,C,Mammalian bone mechanics,HIGH,Used to calculate safety factors from von Mises stress.
INP-MAT-10,Material,Cortical Compressive Ultimate Strength,Ultimate breaking strength of dense compact bone,180.0-200.0,MPa,150-240 MPa,Cowin (2001); Snively & Theodor (2011),p. 6,borrowed_literature,LITERATURE_ONLY,C,Mammalian bone mechanics,HIGH,Ultimate failure threshold for hard tissue crushing.
